Work Item Type,Title 1,Title 2,Title 3,Description,Acceptance Criteria,Story Points,Priority,Tags
Feature,,F37 - Mobile Application Shell,,<p>Provide native mobile navigation and core farm workflows.</p>,,,2,HerdCommand;R1;Feature
User Story,,,US109 - Implement mobile navigation shell,"<p><strong>As a</strong> Farm user, <strong>I want</strong> a clear mobile navigation structure, <strong>so that</strong> I can reach common areas quickly.</p>","<ul><li>Primary destinations align with approved mobile information architecture.</li><li>Navigation supports Arabic RTL and English LTR.</li><li>Back behavior follows platform conventions.</li><li>Protected routes require authenticated session.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",8,1,HerdCommand;R1;Mobile;React-Native;Navigation;UI
User Story,,,US110 - Provide mobile home quick actions,"<p><strong>As a</strong> Farm worker, <strong>I want</strong> quick mobile access to field workflows, <strong>so that</strong> I can record activity with minimal taps.</p>","<ul><li>Home exposes permitted quick actions such as scan, weight, treatment and task completion.</li><li>Actions adapt to role and offline availability.</li><li>Touch targets meet accessibility baseline.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,2,HerdCommand;R1;Mobile;Productivity;UI
Feature,,F38 - Offline Data Access,,<p>Keep critical field data available during connectivity loss.</p>,,,2,HerdCommand;R3;Feature
User Story,,,US111 - Cache assigned operational data for offline use,"<p><strong>As a</strong> Farm worker, <strong>I want</strong> critical farm and animal data available offline, <strong>so that</strong> I can continue field work with poor connectivity.</p>",<ul><li>Offline dataset scope is explicitly limited to required records.</li><li>Cached data is encrypted or protected according to platform capability and threat model.</li><li>User can see when data was last synchronized.</li><li>Logout clears protected cached data according to security policy.</li></ul>,8,1,HerdCommand;R3;Mobile;Offline;Security;SQLite
User Story,,,US112 - View offline connectivity state,"<p><strong>As a</strong> Farm worker, <strong>I want</strong> to know whether the app is online, offline or syncing, <strong>so that</strong> I understand whether changes are current.</p>","<ul><li>Connectivity/sync state is visible without blocking normal work.</li><li>Offline state does not incorrectly report successful server synchronization.</li><li>Recovering connectivity starts sync according to defined policy.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R3;Mobile;Offline;Sync;UI
Feature,,F39 - Offline Write & Synchronization,,<p>Queue supported changes locally and synchronize them safely.</p>,,,2,HerdCommand;R3;Feature
User Story,,,US113 - Record supported field action while offline,"<p><strong>As a</strong> Farm worker, <strong>I want</strong> to record supported actions without connectivity, <strong>so that</strong> work is not lost in the field.</p>",<ul><li>Supported offline actions are explicitly defined.</li><li>Offline save creates a local pending record with unique client identifier.</li><li>User sees pending sync status.</li><li>Unsupported online-only actions clearly explain the limitation.</li></ul>,8,1,HerdCommand;R3;Mobile;Offline;Sync
User Story,,,US114 - Synchronize queued offline changes,"<p><strong>As a</strong> Farm worker, <strong>I want</strong> pending changes to synchronize when connectivity returns, <strong>so that</strong> server records become current without duplicate submissions.</p>",<ul><li>Sync is idempotent for retried client operations.</li><li>Successfully synced items leave pending state.</li><li>Failed items remain actionable with reason/status.</li><li>Sync can resume after app restart.</li></ul>,13,1,HerdCommand;R3;Mobile;Offline;Sync;Backend
User Story,,,US115 - Resolve sync conflict,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> a safe way to handle conflicting offline and server edits, <strong>so that</strong> valid data is not silently overwritten.</p>",<ul><li>Conflict is detected using version/timestamp strategy for supported entities.</li><li>User is shown meaningful differences for manual-resolution cases.</li><li>Resolution outcome is audited where business data changes.</li><li>System never silently drops a user change.</li></ul>,13,1,HerdCommand;R3;Mobile;Offline;Sync;Conflict;Audit
Feature,,F40 - Mobile Scan Workflows,,<p>Optimize QR/RFID workflows for field operation.</p>,,,2,HerdCommand;R3;Feature
User Story,,,US116 - Scan animal and launch contextual actions,"<p><strong>As a</strong> Farm worker, <strong>I want</strong> to scan an animal then choose a relevant action, <strong>so that</strong> I can move directly from identification to work.</p>","<ul><li>Successful scan opens animal context with permitted quick actions.</li><li>Offline scan works for cached identifiers.</li><li>Actions unavailable offline are clearly marked.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",8,2,HerdCommand;R3;Mobile;QR;RFID;Offline;UI
Epic,"E14 - Administration, Audit & Platform Operations",,,"<p>Operate the platform securely with auditability, observability and production readiness.</p>",,,1,HerdCommand;R5;Epic
Feature,,F41 - Administration Console,,"<p>Provide controlled administration of users, settings and reference data.</p>",,,2,HerdCommand;R4;Feature
User Story,,,US117 - View team administration dashboard,"<p><strong>As a</strong> Farm administrator, <strong>I want</strong> to review active/invited/deactivated team members, <strong>so that</strong> I can manage access centrally.</p>","<ul><li>Dashboard separates active, invited and deactivated users.</li><li>Role and last relevant access status are shown where permitted.</li><li>Admin actions are available only to authorized users.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,2,HerdCommand;R4;Admin;Team;RBAC;UI
User Story,,,US118 - Manage application settings,"<p><strong>As a</strong> Farm administrator, <strong>I want</strong> to manage supported farm-level application settings, <strong>so that</strong> behavior can be configured without code changes.</p>",<ul><li>Only approved settings are exposed.</li><li>Values are validated before save.</li><li>Security-sensitive changes require elevated permission and audit.</li><li>Settings have safe defaults.</li></ul>,8,2,HerdCommand;R4;Admin;Settings;Configuration;Audit
Feature,,F42 - Audit Trail,,<p>Create a trustworthy history for sensitive business changes.</p>,,,2,HerdCommand;R4;Feature
User Story,,,US119 - Audit sensitive create/update/delete actions,"<p><strong>As a</strong> Farm administrator, <strong>I want</strong> sensitive changes to be traceable, <strong>so that</strong> I can investigate who changed what and when.</p>","<ul><li>Audit records actor, timestamp, action and target identifier.</li><li>Before/after values are captured only for approved non-secret fields.</li><li>Audit records are append-only to normal application users.</li><li>Access to audit views is restricted.</li></ul>",8,1,HerdCommand;R4;Audit;Security;Backend
User Story,,,US120 - Search audit log,"<p><strong>As a</strong> Farm administrator, <strong>I want</strong> to search audit history, <strong>so that</strong> I can investigate incidents and changes.</p>","<ul><li>Authorized user can filter by date, actor, action and target type.</li><li>Results are paginated.</li><li>Audit search does not expose secrets or hidden sensitive fields.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,3,HerdCommand;R4;Audit;Admin;Search;UI
Feature,,F43 - Observability & Reliability,,<p>Detect failures and understand platform health.</p>,,,2,HerdCommand;R5;Feature
User Story,,,US121 - Implement structured application logging,"<p><strong>As a</strong> Developer, <strong>I want</strong> structured logs with correlation identifiers, <strong>so that</strong> production issues can be traced across services.</p>","<ul><li>Requests have correlation/trace identifiers.</li><li>Logs avoid passwords, tokens and secrets.</li><li>Log levels are environment configurable.</li><li>Key business failures include safe diagnostic context.</li></ul>",5,1,HerdCommand;R5;Observability;Logging;Security;Backend
User Story,,,US122 - Implement metrics and health checks,"<p><strong>As a</strong> Operator, <strong>I want</strong> service health and core metrics, <strong>so that</strong> I can detect degraded behavior.</p>",<ul><li>Backend exposes protected/appropriate health endpoints.</li><li>Metrics cover request latency/error rate and key infrastructure dependencies.</li><li>Health checks distinguish readiness from liveness where deployment platform supports it.</li></ul>,8,1,HerdCommand;R5;Observability;Metrics;AWS;Backend
User Story,,,US123 - Capture client application errors,"<p><strong>As a</strong> Developer, <strong>I want</strong> web and mobile runtime errors to be observable, <strong>so that</strong> I can prioritize real user failures.</p>",<ul><li>Unhandled errors are captured with release/environment context.</li><li>Personally sensitive values and tokens are excluded.</li><li>Source-map handling does not expose production source publicly.</li></ul>,5,2,HerdCommand;R5;Observability;Web;Mobile;Security
Feature,,F44 - Security Hardening,,<p>Apply production security controls across application and infrastructure.</p>,,,2,HerdCommand;R5;Feature
User Story,,,US124 - Enforce API authorization in Spring Boot,"<p><strong>As a</strong> Security engineer, <strong>I want</strong> every protected API operation to validate authenticated identity and permissions, <strong>so that</strong> UI bypass cannot expose protected data.</p>",<ul><li>Spring Security validates token issuer/audience according to configured policy.</li><li>Endpoint/service authorization is enforced server-side.</li><li>Unauthorized and forbidden responses are distinct and safe.</li><li>Automated tests cover representative role boundaries.</li></ul>,8,1,HerdCommand;R5;Security;Spring-Boot;Keycloak;API
User Story,,,US125 - Implement secure file upload controls,"<p><strong>As a</strong> Security engineer, <strong>I want</strong> uploaded files to be validated and isolated, <strong>so that</strong> malicious files cannot be treated as trusted content.</p>",<ul><li>Allowed type and size rules are enforced server-side.</li><li>Object keys are generated rather than trusted from user filenames.</li><li>Downloads require authorization.</li><li>Executable content is not served inline unless explicitly safe.</li></ul>,8,1,HerdCommand;R5;Security;S3;Files;Backend
User Story,,,US126 - Apply web security headers and CORS policy,"<p><strong>As a</strong> Security engineer, <strong>I want</strong> web/API transport policies to be explicit, <strong>so that</strong> browser-based attack surface is reduced.</p>",<ul><li>CORS allows only required origins/methods/headers.</li><li>Security headers are configured for production.</li><li>HTTPS is required in production.</li><li>Configuration is tested in deployment environment.</li></ul>,5,1,HerdCommand;R5;Security;Web;API;AWS
Feature,,"F45 - Backup, Recovery & Data Retention",,<p>Protect business data and validate recovery procedures.</p>,,,2,HerdCommand;R5;Feature
User Story,,,US127 - Configure PostgreSQL backup and restore process,"<p><strong>As a</strong> Operator, <strong>I want</strong> tested database backups, <strong>so that</strong> farm data can be recovered after failure.</p>",<ul><li>Backup frequency and retention are documented.</li><li>Backups are encrypted according to platform policy.</li><li>Restore procedure is tested in a non-production environment.</li><li>Recovery objectives are documented and approved.</li></ul>,8,1,HerdCommand;R5;Database;PostgreSQL;Backup;AWS
User Story,,,US128 - Define attachment retention and recovery,"<p><strong>As a</strong> Operator, <strong>I want</strong> a retention strategy for object storage, <strong>so that</strong> files remain consistent with business records and recovery needs.</p>",<ul><li>Retention/lifecycle policy is documented.</li><li>Deletion behavior is consistent between metadata and object storage.</li><li>Recovery expectations for accidentally deleted files are documented.</li></ul>,5,2,HerdCommand;R5;S3;Backup;Retention
Feature,,F46 - Performance & Release Readiness,,<p>Validate the product before production release.</p>,,,2,HerdCommand;R5;Feature
User Story,,,US129 - Validate core workflow performance,"<p><strong>As a</strong> Product owner, <strong>I want</strong> core workflows to meet agreed response targets, <strong>so that</strong> the product remains usable at expected scale.</p>",<ul><li>Performance targets are defined for key APIs/pages before testing.</li><li>Representative data volumes are used.</li><li>Slow queries/endpoints are identified and remediated or accepted explicitly.</li><li>Results are recorded for release evidence.</li></ul>,8,1,HerdCommand;R5;Performance;Backend;Web;Database
User Story,,,US130 - Run production readiness review,"<p><strong>As a</strong> Product owner, <strong>I want</strong> a formal release readiness checklist, <strong>so that</strong> known operational risks are visible before go-live.</p>","<ul><li>Security, backup, observability, rollback, migration and support readiness are reviewed.</li><li>Open critical defects block release.</li><li>Known accepted risks have owner and mitigation.</li><li>Go-live decision is recorded.</li></ul>",5,1,HerdCommand;R5;Release;Governance;Production
